Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;;;STATS;FOR;BrushingHair;;;;;;;;;;STATS;FOR;BrushingHair;;;;;;;;;;STATS;FOR;BrushingHair;;;;;;;;;;STATS;FOR;Idle;;;;;;;;STATS;FOR;Idle;;;;;;;;STATS;FOR;BrushingHair;;;;;;;;;;STATS;FOR;BrushingHair;;;;;;;;;;STATS;FOR;BrushingHair;;;;;;;;;;STATS;FOR;RunningFingersHead;;;;;;;;;;STATS;FOR;BrushHair;;;;;;;;;;STATS;FOR;AdjustingCloth;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;STATS;FOR;AdjustingCloth;;;;;;;;;;;;;;;;;;;;;;;
CNNLSTM;10;AdjustHair;30 min;100;100;30;31-10-2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;;;;;;;;;;;;;;;;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;;;;;;;;;;;;;;;;
;TOTAL;MODEL;PERFORMANCE;;;;;;;;;471;206;265;43.73673036;0.392182078;286.2822413;;;;;;;471;131;340;27.81316348;0.244605294;355.7909064;;;;;;;471;129;342;27.38853503;0.275304149;341.3317458;;;;;;;460;341;119;74.13043478;0.722514103;127.6435128;;;;;460;317;143;68.91304348;0.663153913;154.9492001;;;;;471;0;471;0;5.88E-05;470.9723073;;;;;;;471;46;425;9.766454352;0.141790916;404.2164786;;;;;;;471;0;471;0;0.000971898;470.5422359;;;;;;;478;288;190;60.25104603;0.614944975;184.0563019;;;;;;;742;676;66;91.10512129;0.914280201;63.6040907;;;;;;;419;419;0;100;0.999944664;0.02318579;;;;;;;;;;;;;;;;;;;;;;;;;;;;464;464;0;100;0.999996729;0.001517832;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;AVG;Precision;For;Other;Labels;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;;;;;;;;;;;;;;
460.5;360.5;100;78.1990149;0.774991084;103.1766852;;;;;;;AdjustHair;FastWalk;Idle;JumpingJacks;RunningFingersHead;SittingArmsDown;SittingCrossedArms;SlowWalk;WalkingBackwards;;;;AdjustHair;FastWalk;Idle;JumpingJacks;RunningFingersHead;SittingArmsDown;SittingCrossedArms;SlowWalk;WalkingBackwards;;;;AdjustHair;FastWalk;Idle;JumpingJacks;RunningFingersHead;SittingArmsDown;SittingCrossedArms;SlowWalk;WalkingBackwards;;;;FastWalk;JumpingJacks;SittingArmsDown;SittingCrossedArms;SlowWalk;WalkingBackwards;;;;;FastWalk;JumpingJacks;SittingArmsDown;SittingCrossedArms;SlowWalk;WalkingBackwards;;;;;AdjustHair;FastWalk;Idle;JumpingJacks;RunningFingersHead;SittingArmsDown;SittingCrossedArms;SlowWalk;WalkingBackwards;;;;AdjustHair;FastWalk;Idle;JumpingJacks;RunningFingersHead;SittingArmsDown;SittingCrossedArms;SlowWalk;WalkingBackwards;;;;AdjustHair;FastWalk;Idle;JumpingJacks;RunningFingersHead;SittingArmsDown;SittingCrossedArms;SlowWalk;WalkingBackwards;;;;AdjustHair;BrushingHair;FastWalk;Idle;JumpingJacks;SittingArmsDown;SittingCrossedArms;SlowWalk;WalkingBackwards;;;;AdjustHair;FastWalk;Idle;JumpingJacks;RunningFingersHead;SittingArmsDown;SittingCrossedArms;SlowWalk;WalkingBackwards;;;;AdjustHair;BeingApathetic;BeingSad;BrushHair;Clapping;DanceSeqA;DanceSeqB;DanceSeqC;DanceSeqE;DressUndress;Drinking;FastWalk;Idle;JumpingJacks;LieDownGetUpSitting;LieDownGetUpStanding;LotionOnArms;LotionOnFace;LyingIdle;OpenHeartWalking;RollingOnFloor;RunningFingersHead;SitDownGetUp;SittingArmsDown;SittingCrossedArms;SlowWalk;Streatch;StrockingChinOther;TurningSlowly;WalkingBackwards;;;;AdjustHair;BeingApathetic;BeingSad;BrushHair;Clapping;DanceSeqA;DanceSeqB;DanceSeqC;DanceSeqE;DressUndress;Drinking;FastWalk;Idle;JumpingJacks;LotionOnArms;LotionOnFace;LyingIdle;OpenHeartWalking;RollingOnFloor;RunningFingersHead;SittingArmsDown;SittingCrossedArms;SlowWalk;Streatch;StrockingChinOther;TurningSlowly;WalkingBackwards;
;;;;;;;;;;;;0.064834628;5.70E-05;0.000213858;6.12E-05;0.379473011;0.000740905;0.162374005;4.26E-05;2.07E-05;;;;0.191348369;0.000135406;0.000133048;0.000295531;0.558935913;0.000691522;0.003807803;3.86E-05;8.53E-06;;;;0.261436198;0.000104057;0.000352339;0.000757924;0.414162592;0.004586346;0.043013401;0.000224975;5.80E-05;;;;0.059530953;0.001762659;0.000105895;8.37E-05;0.214120697;0.001882021;;;;;0.106380545;1.99E-07;2.65E-06;0.002577924;0.217607787;0.010276984;;;;;0.364236301;1.68E-05;0.006854313;0.000146861;0.173168491;0.001426167;0.45408794;4.30E-06;5.65E-08;;;;0.03129559;0.826828038;2.75E-07;3.62E-06;5.14E-05;1.23E-06;2.33E-05;4.96E-06;6.77E-07;;;;0.747772801;1.39E-06;0.000389467;0.000117209;0.24920494;4.77E-05;0.001493581;2.29E-07;8.35E-07;;;;0.209350103;0.059618182;0.000450721;0.000729173;0.057089267;0.000558709;0.011066233;0.000240664;0.045951973;;;;0.085540625;1.66E-05;6.45E-07;3.10E-08;0.000104582;1.17E-05;4.51E-05;6.48E-07;2.48E-09;;;;1.57E-12;2.46E-11;4.68E-16;2.88E-07;2.86E-11;1.33E-13;9.48E-08;5.78E-12;1.41E-12;7.98E-07;8.37E-11;4.28E-11;4.88E-10;2.52E-14;4.58E-05;1.29E-09;4.92E-14;9.69E-13;1.55E-12;1.57E-08;2.02E-10;6.10E-08;2.39E-10;8.32E-06;1.13E-08;1.28E-09;2.05E-15;2.58E-10;3.38E-11;1.85E-13;;;;2.48E-10;2.55E-10;3.88E-14;3.17E-08;4.54E-10;3.31E-08;1.09E-07;1.91E-12;4.24E-11;2.83E-06;3.87E-08;4.51E-12;1.48E-11;2.20E-09;6.89E-11;1.54E-07;1.95E-12;1.33E-07;3.84E-13;5.91E-11;4.15E-11;1.15E-12;4.54E-10;3.39E-09;5.01E-10;6.36E-13;1.32E-12;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CNNLSTM;7;FastWalk;30 min;100;100;120;31-10-2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
